time_ms,thr,roll_sp,roll_gyro,roll_P,roll_I,roll_D,pitch_sp,pitch_gyro,pitch_P,pitch_I,pitch_D,yaw_sp,yaw_gyro,yaw_P,yaw_I,yaw_D
2938,1000,0.00,-21.22,0.000,0.000,0.000,0.00,-12.32,0.000,0.000,0.000,0.00,14.18,0.000,0.000,0.000
2958,1000,0.00,-16.56,0.000,0.000,0.000,0.00,-11.14,0.000,0.000,0.000,0.00,17.25,0.000,0.000,0.000
2978,1000,0.00,-14.61,0.000,0.000,0.000,0.00,-10.67,0.000,0.000,0.000,0.00,20.58,0.000,0.000,0.000
2998,1000,0.00,-13.07,0.000,0.000,0.000,0.00,-10.65,0.000,0.000,0.000,0.00,23.60,0.000,0.000,0.000
3018,1000,0.00,-11.13,0.000,0.000,0.000,0.00,-11.16,0.000,0.000,0.000,0.00,25.92,0.000,0.000,0.000
3038,1000,0.00,-10.30,0.000,0.000,0.000,0.00,-11.86,0.000,0.000,0.000,0.00,27.52,0.000,0.000,0.000
3058,1000,0.00,-11.33,0.000,0.000,0.000,0.00,-12.48,0.000,0.000,0.000,0.00,28.64,0.000,0.000,0.000
3078,1000,0.00,-13.33,0.000,0.000,0.000,0.00,-12.70,0.000,0.000,0.000,0.00,29.25,0.000,0.000,0.000
3098,1000,0.00,-15.08,0.000,0.000,0.000,0.00,-12.87,0.000,0.000,0.000,0.00,29.05,0.000,0.000,0.000
3118,1000,0.00,-16.93,0.000,0.000,0.000,0.00,-13.29,0.000,0.000,0.000,0.00,27.90,0.000,0.000,0.000
3138,1000,0.00,-19.39,0.000,0.000,0.000,0.00,-13.72,0.000,0.000,0.000,0.00,26.09,0.000,0.000,0.000
3158,1000,0.00,-22.14,0.000,0.000,0.000,0.00,-14.00,0.000,0.000,0.000,0.00,24.16,0.000,0.000,0.000
3178,1000,0.00,-23.88,0.000,0.000,0.000,0.00,-13.69,0.000,0.000,0.000,0.00,22.48,0.000,0.000,0.000
3198,1000,0.00,-23.72,0.000,0.000,0.000,0.00,-13.29,0.000,0.000,0.000,0.00,20.87,0.000,0.000,0.000
